YEAR,STATEFIP,FEMALE,AGE,HISPANIC,ASIAN,BLACK,PACIFICISLANDER,WHITE,COLLEGE,INCOME
2022,15,0,43,0,0,0,1,0,0,11000
2022,15,1,42,0,0,0,1,0,0,0
2022,15,0,19,0,0,0,0,1,0,22500
2022,15,1,20,1,0,0,0,0,0,26300
2022,15,1,19,0,0,0,0,1,0,10000
2022,15,1,18,1,0,0,0,1,0,1600
2022,15,0,19,0,0,0,0,0,0,12500
2022,15,0,49,0,0,0,1,0,0,0
2022,15,0,23,0,0,0,0,0,0,6500
2022,15,0,20,1,0,0,0,1,0,20000
2022,15,1,18,0,0,0,0,1,0,12000
2022,15,0,41,0,0,0,0,1,0,0
2022,15,0,69,0,0,0,1,0,0,15300
2022,15,0,44,0,0,0,0,0,0,0
2022,15,0,23,0,0,0,0,1,0,30000
2022,15,0,38,0,0,0,0,1,0,0
2022,15,0,33,0,0,0,0,1,1,43000
2022,15,0,29,0,0,0,1,0,1,4200
2022,15,1,97,0,0,0,1,0,0,14600
2022,15,0,21,0,0,0,0,0,0,29000
2022,15,0,19,1,0,0,0,0,0,25000
2022,15,0,22,0,1,0,0,0,0,20000
2022,15,0,70,0,1,0,0,0,0,5600
2022,15,1,18,0,0,0,0,0,0,0
2022,15,0,29,0,0,0,0,1,1,33000
2022,15,0,22,0,1,0,0,0,0,20000
2022,15,1,90,0,1,0,0,0,0,11200
2022,15,1,90,0,0,0,1,0,0,10800
2022,15,0,45,1,0,0,0,0,1,40800
2022,15,0,19,0,0,0,0,1,0,3500
2022,15,0,20,0,0,0,0,1,0,25000
2022,15,0,27,0,0,0,0,1,0,32400
2022,15,1,23,0,0,1,0,0,0,35500
2022,15,0,59,0,1,0,0,0,0,0
2022,15,1,24,0,0,1,0,0,0,23500
2022,15,0,23,1,0,0,0,0,0,31800
2022,15,1,22,0,0,0,0,1,0,28800
2022,15,0,53,0,0,0,0,0,0,0
2022,15,0,57,1,0,0,0,0,0,9600
2022,15,1,27,0,0,0,1,0,0,0
2022,15,1,22,1,0,0,0,0,0,39000
2022,15,0,24,0,0,0,0,0,0,160
2022,15,0,21,0,0,0,0,1,0,24000
2022,15,1,19,0,0,0,0,1,0,26520
2022,15,0,59,0,0,0,0,1,1,27000
2022,15,0,75,0,0,0,0,1,1,48500
2022,15,0,43,0,0,0,0,1,0,9600
2022,15,0,61,0,0,0,1,0,0,0
2022,15,0,19,0,0,0,0,1,0,22400
2022,15,0,34,0,0,0,1,0,0,0
2022,15,0,22,1,0,0,0,1,0,15000
2022,15,0,21,1,0,0,0,0,0,24000
2022,15,1,83,0,0,0,0,1,0,0
2022,15,0,58,0,0,0,0,1,0,9600
2022,15,0,28,0,0,0,0,1,0,0
2022,15,1,97,0,0,0,1,0,0,14600
2022,15,1,71,0,0,0,0,1,0,6000
2022,15,1,18,1,0,0,0,1,0,1600
2022,15,0,40,1,0,0,0,1,0,0
2022,15,0,71,0,0,0,0,1,1,35200
